,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
765,58586.222049,r,15.627,0.029,positive,,
766,58586.220208,r,15.616,0.043,positive,,
768,58584.305914,r,15.577,0.023,positive,,
769,58584.303137,r,15.598,0.027,positive,,
772,58583.270741,r,15.589,0.031,positive,,
773,58583.267072,r,15.589,0.023,positive,,
775,58580.321435,r,15.568,0.038,positive,,
776,58580.290301,r,15.565,0.029,positive,,
777,58580.288924,r,15.579,0.03,positive,,
782,58575.389144,r,15.519,0.044,positive,,
783,58575.386829,r,15.538,0.033,positive,,
788,58575.244549,r,15.521,0.04,positive,,
789,58575.244097,r,15.551,0.038,positive,,
790,58574.238356,r,15.387,0.032,positive,,
793,58572.303854,r,15.477,0.032,positive,,
794,58572.303403,r,15.489,0.024,positive,,
795,58572.284074,r,15.505,0.033,positive,,
796,58572.283623,r,15.499,0.029,positive,,
799,58567.330278,r,15.458,0.036,positive,,
800,58567.328021,r,15.464,0.025,positive,,
801,58567.324757,r,15.438,0.029,positive,,
803,58567.239931,r,15.463,0.036,positive,,
804,58562.350405,r,15.419,0.021,positive,,
810,58559.276516,r,15.386,0.031,positive,,
811,58559.27603,r,15.376,0.026,positive,,
812,58559.262026,r,15.407,0.029,positive,,
813,58558.21441,r,15.326,0.023,positive,,
817,58556.199583,r,15.401,0.03,positive,,
823,58543.365544,r,15.163,0.038,positive,,
824,58543.364572,r,15.236,0.029,positive,,
825,58543.350451,r,15.236,0.024,positive,,
829,58543.256181,r,15.215,0.026,positive,,
830,58540.267546,r,15.184,0.028,positive,,
831,58538.365301,r,15.208,0.027,positive,,
832,58538.36272,r,15.207,0.044,positive,,
833,58538.351215,r,15.196,0.036,positive,,
838,58538.220428,r,15.279,0.082,positive,,
839,58534.428611,r,15.119,0.034,positive,,
840,58534.428148,r,15.101,0.034,positive,,
841,58534.385174,r,15.132,0.031,positive,,
842,58534.352778,r,15.117,0.019,positive,,
847,58526.519167,r,14.994,0.023,positive,,
852,58522.536736,r,14.877,0.034,positive,,
853,58522.536262,r,14.867,0.028,positive,,
861,58514.431389,r,14.37,0.023,positive,,
862,58514.430938,r,14.393,0.024,positive,,
863,58514.427905,r,14.389,0.025,positive,,
864,58514.405752,r,14.369,0.03,positive,,
868,58511.403808,r,14.234,0.018,positive,,
869,58511.402813,r,14.214,0.021,positive,,
870,58511.402813,r,14.214,0.021,positive,,
871,58511.387697,r,14.21,0.019,positive,,
876,58508.486829,r,14.102,0.02,positive,,
877,58508.486377,r,14.099,0.016,positive,,
878,58508.47191,r,14.087,0.023,positive,,
879,58508.465278,r,14.101,0.024,positive,,
880,58505.537095,r,14.021,0.018,positive,,
881,58505.536632,r,14.017,0.022,positive,,
886,58502.554526,r,13.98,0.024,positive,,
887,58502.537257,r,13.985,0.031,positive,,
888,58502.535393,r,14.014,0.019,positive,,
889,58502.534931,r,13.958,0.021,positive,,
897,58491.558588,r,14.026,0.024,positive,,
898,58491.558137,r,14.004,0.022,positive,,
899,58491.554838,r,14.009,0.024,positive,,
908,58486.513171,r,14.038,0.019,positive,,
909,58486.511724,r,14.047,0.025,positive,,
910,58486.489676,r,14.108,0.037,positive,,
911,58486.488276,r,14.085,0.023,positive,,
917,58476.527349,r,14.173,0.035,positive,,
918,58474.490475,r,14.197,0.028,positive,,
919,58471.552789,r,14.343,0.023,positive,,
920,58471.552338,r,14.253,0.02,positive,,
936,58447.526701,r,14.934,0.024,positive,,
937,58447.485891,r,14.952,0.03,positive,,
938,58447.471447,r,14.933,0.02,positive,,
939,58447.44794,r,14.936,0.025,positive,,
940,58447.446991,r,14.912,0.031,positive,,
942,58443.471169,r,15.1,0.035,positive,,
943,58443.470706,r,15.099,0.035,positive,,
944,58443.428032,r,15.12,0.034,positive,,
945,58443.427569,r,15.107,0.033,positive,,
946,58440.551956,r,15.22,0.039,positive,,
947,58440.550081,r,15.226,0.031,positive,,
