,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
467,58976.28248,r,19.831,,limit,,
468,58974.27448,r,19.787,,limit,,
471,58971.22152,r,20.178,,limit,,
475,58968.19845,r,20.733,,limit,,
476,58965.2797,r,20.711,,limit,,
478,58962.2592,r,20.722,,limit,,
480,58956.28101,r,20.464,,limit,,
482,58954.27028,r,20.57,,limit,,
483,58944.36319,r,19.624,,limit,,
484,58939.39056,r,18.414,,limit,,
486,58936.40339,r,20.618,,limit,,
489,58915.42976,r,19.466,,limit,,
491,58914.36642,r,19.988,,limit,,
492,58913.47086,r,20.135,,limit,,
495,58912.45223,r,20.632,,limit,,
496,58911.44311,r,20.324,,limit,,
498,58908.47186,r,19.165,,limit,,
501,58906.47144,r,20.265,,limit,,
510,58891.49256,r,19.966,,limit,,
512,58886.53302,r,20.208,,limit,,
514,58883.53294,r,20.062,,limit,,
516,58880.51381,r,20.708,,limit,,
519,58877.48794,r,20.777,,limit,,
521,58871.51108,r,20.361,,limit,,
525,58862.36618,r,19.432,,limit,,
526,58859.47744,r,19.888,,limit,,
527,58859.31245,r,19.128,,limit,,
529,58852.55163,r,20.7,,limit,,
533,58846.57774,r,19.85,,limit,,
537,58837.46446,r,19.911,,limit,,
539,58834.50394,r,18.923,,limit,,
541,58833.4706,r,19.456,,limit,,
543,58831.44685,r,19.339,,limit,,
548,58799.49021,r,19.336,,limit,,
551,58785.50981,r,19.75,,limit,,
560,58670.187,r,20.052,,limit,,
561,58667.22543,r,20.389,,limit,,
564,58661.20167,r,20.578,,limit,,
566,58658.18317,r,20.708,,limit,,
568,58654.18183,r,20.513,,limit,,
569,58651.23517,r,19.754,,limit,,
571,58648.19338,r,19.761,,limit,,
574,58642.23655,r,20.487,,limit,,
577,58639.18604,r,20.784,,limit,,
580,58633.17458,r,20.672,,limit,,
581,58628.30648,r,20.536,,limit,,
585,58616.18207,r,20.001,,limit,,
587,58612.21515,r,20.848,,limit,,
590,58606.19128,r,20.87,,limit,,
595,58591.34956,r,19.047,,limit,,
597,58587.26709,r,18.979,,limit,,
598,58584.31837,r,20.425,,limit,,
600,58580.28712,r,20.657,,limit,,
603,58575.23705,r,18.38,,limit,,
604,58572.30794,r,20.104,,limit,,
610,58559.256,r,20.065,,limit,,
614,58543.36274,r,20.756,,limit,,
616,58538.35308,r,19.264,,limit,,
618,58534.3978,r,18.842,,limit,,
620,58526.49306,r,19.589,,limit,,
